4.951973915100097656e+00,4.188686847686767578e+00
4.947157382965087891e+00,4.212270736694335938e+00
4.942450523376464844e+00,4.235838890075683594e+00
4.937847614288330078e+00,4.259391784667968750e+00
4.933341979980468750e+00,4.282928466796875000e+00
4.928927421569824219e+00,4.306449890136718750e+00
4.924597740173339844e+00,4.329955101013183594e+00
4.920346260070800781e+00,4.353444576263427734e+00
4.916167259216308594e+00,4.376918315887451172e+00
4.912054061889648438e+00,4.400375366210937500e+00
4.908000469207763672e+00,4.423816680908203125e+00
4.904000282287597656e+00,4.447241783142089844e+00
4.900046825408935547e+00,4.470650196075439453e+00
4.896134376525878906e+00,4.494042396545410156e+00
4.892256736755371094e+00,4.517418384552001953e+00
4.888406753540039062e+00,4.540777683258056641e+00
4.884578704833984375e+00,4.564120292663574219e+00
4.880766391754150391e+00,4.587446212768554688e+00
4.876963138580322266e+00,4.610754966735839844e+00
4.873163223266601562e+00,4.634047031402587891e+00
4.869359493255615234e+00,4.657322406768798828e+00
4.865546703338623047e+00,4.680580615997314453e+00
4.861717700958251953e+00,4.703821659088134766e+00
4.857866287231445312e+00,4.727045536041259766e+00
4.853986740112304688e+00,4.750252246856689453e+00
4.850072383880615234e+00,4.773441314697265625e+00
4.846117019653320312e+00,4.796613216400146484e+00
4.842114448547363281e+00,4.819767475128173828e+00
4.838057994842529297e+00,4.842904567718505859e+00
4.833941459655761719e+00,4.866023540496826172e+00
4.829759120941162109e+00,4.889124870300292969e+00
4.825503826141357422e+00,4.912208557128906250e+00
4.821169853210449219e+00,4.935274124145507812e+00
4.816750526428222656e+00,4.958321571350097656e+00
4.812240123748779297e+00,4.981351375579833984e+00
4.807631969451904297e+00,5.004362583160400391e+00
4.802919864654541016e+00,5.027355670928955078e+00
4.798097610473632812e+00,5.050330638885498047e+00
4.793160438537597656e+00,5.073287487030029297e+00
4.788111686706542969e+00,5.096227169036865234e+00
4.782956123352050781e+00,5.119150638580322266e+00
4.777698993682861328e+00,5.142059803009033203e+00
4.772344112396240234e+00,5.164955139160156250e+00
4.766897201538085938e+00,5.187838077545166016e+00
